id:ID,title:string,description:string,platform:string,access_level:string,manager:string,:LABEL
clio_965_numeric,Numeric Data Collection (965DataGate),"Columbia licensed numeric economic, financial, and social science datasets searchable in CLIO catalog using key index 965DataGate. Migrating to Redivis CDP.",CLIO Catalog,Columbia-Licensed,RDS Librarian,Dataset
clio_965_polls,Public Opinion Poll Data Collection (965DataGate),Licensed public opinion polling data collections searchable in CLIO via 965DataGate. Migrating to Redivis CDP.,CLIO Catalog,Columbia-Licensed,RDS Librarian,Dataset
clio_965_elections,Licensed Election Data Collection (965DataGate),Licensed aggregate election and voting behavior datasets indexed in CLIO under 965DataGate.,CLIO Catalog,Columbia-Licensed,RDS Librarian,Dataset
open_nasa_climate,NASA Earth Science & Climate Open Datasets,"Open source satellite observations, atmosphere, and climate datasets from NASA. Note: Open source datasets do not have CLIO catalog records.",Open Source Repository,Open Access,Open NASA Portal,Dataset
open_census_public,US Census Bureau Public Decennial & ACS Datasets,Open source public US Census Bureau demographic data tables. Note: Open source datasets do not have standard CLIO catalog records.,Open Source Repository,Open Access,US Census Bureau,Dataset
cdp_hcup,HCUP Healthcare Cost and Utilization Project,"Restricted access hospital inpatient and outpatient medical campus dataset. Paid by faculty across Morningside & Medical campuses, purchased and administered by Jeremiah.",Redivis (Columbia Data Platform),Restricted,Jeremiah,Dataset
cdp_l2_voter,L2 Micro-Level Election Voter Data,Granular micro-level election voter registration and turnout dataset managed by Population Research Center (CPRC). Excluded from CLIO search.,Redivis (Columbia Data Platform),Restricted,Jeremiah & Ashley (CPRC / CUIT),Dataset
cdp_ipums_census,IPUMS Restricted Access Full Count US Census (1790-1950),Full count US decennial census microdata (1790-1950) managed by Population Research Center (CPRC) & CUIT engineer Ashley. Excluded from default CLIO search.,Redivis (Columbia Data Platform),Restricted,Jeremiah & Ashley (CPRC / CUIT),Dataset
dataset_ciesin_earth,Columbia CIESIN Data Catalog (Data of the Earth),Socioeconomic and environmental spatial data catalog managed by Center for International Earth Science Information Network (CIESIN) for SIPA's MPA-ESP program.,Redivis (Columbia Data Platform),Columbia-Licensed,RDS Librarian & CIESIN,Dataset
cdp_geospatial_eric,Licensed Geospatial & Spatial Analytics Datasets,"Licensed GIS maps, boundary files, and spatial layers managed by Eric. Migrated to Redivis CDP.",Redivis (Columbia Data Platform),Columbia-Licensed,Eric,Dataset
cdp_text_moacir,Textual & Computational Linguistics Corpus,"Licensed text mining, linguistic corpora, and digital humanities datasets managed by Moacir. Migrated to Redivis CDP.",Redivis (Columbia Data Platform),Columbia-Licensed,Moacir,Dataset
